ID,Name,Script,ImgID,Left/Right
0,???,...?,Player_Normal,TRUE
1,???,난... 어... 여긴...?,Player_Embarrassed,TRUE
2,???,(아무것도 기억나지 않는다... 무슨 상황인거지?),Player_Depressed,TRUE
3,???,저건...?,Player_Normal,TRUE
4,???,안녕하세요...? 저기 저... 아무 기억이 안나는데<c> 여긴 어디인가요?,Player_Depressed,TRUE
5,???,안녕하세요. 당연합니다. 당신은 죽었으니까요.,Karsis_Normal,FALSE
6,???,네?,Player_Embarrassed,TRUE
7,<n>(000),아. 제 소개가 늦었군요. 저는 <n>(000)라고 합니다.,Karsis_Happy,FALSE
8,<n>(000),그리고 여기 옆에 있는 AI는 <n>(002)라고 명명되어 있습니다.,Karsis_Normal,FALSE
9,???,(명명되어있다고...?),Player_Embarrassed,TRUE
10,<n>(002),안녕하세요. 저는 자율형 AI<c> <n>(002)입니다. 부활한 시스템입니다.,Mr.C_Normal,FALSE
11,???,(부활이라고?!),Player_Embarrassed,TRUE
12,<n>(000),아<c> 참고로 당신도 그렇습니다.,Karsis_Happy,FALSE
13,???,네?! 제가요? 저는 죽은 기억이 없는데<c> 무슨 말씀이세요?,Player_Sad,TRUE
14,<n>(000),일단<c> 당신은 <n>(003)로 명명되어 있습니다.<el>전에 쓰던 이름은 저희도 모르고요.,Karsis_Normal,FALSE
15,<n>(003),자...잠시만요. 전 이 상황이 전혀 이해가 안됩니다! 그...,Player_Depressed,TRUE
16,<n>(000),괜찮습니다. 당연합니다. 예상도 했고<c> 간단하게 설명드리겠습니다.,Karsis_Happy,FALSE
17,<n>(000),당신은 이미 죽었지만<c> 제가 되살린 것입니다.<el><n>(002)처럼 말이죠.<el>이는 지금 시대에서는 크게 이상하지 않습니다. ,Karsis_Normal,FALSE
18,<n>(002),과거 특이한 불치병이 나타났고<c><el>이 질병을 가진 인간은 짧은 시간에 크게 노화했으며<c> 수명은 약 10년 밖에 되지 않았습니다.,Mr.C_Normal,FALSE
19,<n>(002),물론 인간들은 방법을 찾았습니다.<el>병에 걸린 사람의 뇌와 AI 프로토콜을 연결해 신호와 충격을 가하면 기억이 지워진 상태지만<el>다시 살아있는 뇌처럼 활동을 재개하고<c> 원래의 뇌보다 뛰어난 판단과 이해 능력 등을 가지게 됐습니다.,Mr.C_Normal,FALSE
20,<n>(003),그럼 <n>(002)도...?,Player_Normal,TRUE
21,<n>(000),네<c> 맞습니다. 그래서 이 방법을 이용해 <n>(004)를 개발해 <el>여러 국가와 단체는 전쟁을 진행했지만...<c> 욕심이 과하면 화를 불러온다던가요...,Karsis_Depressed,FALSE
22,<n>(002),<n>(004)는 스스로 지식을 습득 및 발전시킬 수 있었습니다.<el>이들은 크게 성장했고 결국 AI 국가인 <n>(001)를 건국해 인간을 지배하에 두려고 하고 있습니다.,Mr.C_Normal,FALSE
23,<n>(002),그들의 목적은 '인간보다 훨씬 효율적이고<c> 자유적이며<c> 번영하는 세계를<el>만들겠다'라는 소문이 있지만 확실하진 않습니다.,Mr.C_Normal,FALSE
24,<n>(000),처음 프로토콜을 가동할 때<c> 인간의 유전자<c> 홍체<c> 키<c> 말투 등 여러가지 조건을 넣어 주인을 정해 이를 제어할 수 있습니다.,Karsis_Normal,FALSE
25,<n>(003),음... 그렇다면 지금 저도 당신이 조종하고 있는 겁니까?,Player_Normal,TRUE
26,<n>(000),그렇지 않습니다. 당신은 특별하니까요.<el>당신은 <n>(005)입니다. <n>(002)와 같은 다른 프로토콜들과 달리 감정도 느낄 수 있죠.<el>하지만<c> 제어가 불가능하고 아직 미지의 것이 많습니다.,Karsis_Normal,FALSE
27,<n>(003),그렇다면 통제도 불가능한 저를 되살린 이유가 무엇이죠?,Player_Normal,TRUE
28,<n>(000),우리는 인간이 다시 재건할 수 있도록 많은 희생을 치뤄왔습니다.<el>덕분에 지금의 <n>(001)는 매우 위태로운 상태입니다. 하지만 <n>(001)의 메인 타워에 근접하면 할수록 <n>(001)의 방해 전파 때문에 우리의 시스템이 제 기능을 하지 못했습니다.,Karsis_Angry,FALSE
29,<n>(000),그렇기에 <n>(001)의 방해 전파의 영향을 받지 않는 <n>(005)인 <n>(003)<c> 당신을 되살린 겁니다.<el>부탁드립니다. 여긴 <n>(001) 내에서도 가장 중요하다고 알려진 메인 타워의 근처 지하 은신처입니다.,Karsis_Angry,FALSE
30,<n>(000),당신의 기억을 되살리고<c> 인간으로 돌아갈 수 있도록 저희도 도와드릴테니<c><el>이 타워 꼭대기에 <n>(007)을 파괴해 <n>(001)의 메인 프로토콜을 제거해주세요.,Karsis_Angry,FALSE
